path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes,reference
molecular.structuralVariants[].geneA.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.code,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 5' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneA = 5' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneA.display,string,yes,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.display,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 5' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneA = 5' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneA.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.system,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 5' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneA = 5' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneA.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.version,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 5' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneA = 5' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneB.code,string,yes,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.code,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 3' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneB = 3' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneB.display,string,yes,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.display,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 3' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneB = 3' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneB.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.system,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 3' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneB = 3' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].geneB.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:gene-studied.valueCodeableConcept.coding.version,"MTB DNA/RNA fusion (mii-pr-mtb-dna-fusion / -rna-fusion if sequenceType=RNA); this gene = 3' partner; use the fusion profile's dedicated 5'/3' partner components (NOT both on component:gene-studied, which loses orientation)",DRAFT,fusion: map to component:five-prime-gene / three-prime-gene (orientation); generic gene-studied loses 5'/3' | [[docs/OPEN-ISSUES]] final-review | NUM-OMICS: geneB = 3' partner; gene-studied has no 5'/3' notion - use fusion partner components,mii-pr-mtb-dna-fusion | mii-pr-mtb-dna-fusion / mii-pr-mtb-rna-fusion; HL7 Genomics Reporting fusion; NUM-OMICS review (LOINC-verified 2026-07)
molecular.structuralVariants[].genomicSource,string,yes,yes,"somatic, germline",,Source of the genomic material.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:genomic-source-class.valueCodeableConcept,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
molecular.structuralVariants[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.identifier,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
molecular.structuralVariants[].localization,string,yes,yes,"coding, inRegulatoryElements, notInCodingAndNotInRegulatoryElements",,Localization of molecular alteration.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
molecular.structuralVariants[].sequenceType,string,yes,yes,"DNA, RNA",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
molecular.structuralVariants[].structureType,string,yes,yes,"translocation, translocationWithCodingRegion, translocationWithNonCodingRegion, inversion, deletionOfGeneSegments, duplicationOfGeneSegments",,Type of structural variant.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-dna-fusion,Observation.component:variant-type.valueCodeableConcept,MTB DNA/RNA fusion (mii-pr-mtb-rna-fusion if sequenceType=RNA); SO variant-type,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-dna-fusion | oBDS-to-FHIR (bzkf)
plan.carePlanOd.counsellingRecommended,boolean,yes,no,,,Recommendation for human genetic counseling.,Onkologie,CarePlan,CarePlan.activity(counselling),boolean flag,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.interventionRecommended,boolean,yes,no,,,Recommendation for an operation.,Onkologie,CarePlan,CarePlan.activity(intervention),boolean flag,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.molecularBoardDecisionDate,string,yes,no,,date,Date of case conference.,Onkologie,CarePlan,CarePlan.created,MTB decision date,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.otherRecommendations[],string,no,yes,"WW, AS, WS, OP, ST, KW, SO",,,Onkologie,CarePlan,CarePlan.activity.detail.description,free-text other recommendation,DRAFT,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.reEvaluationRecommended,boolean,yes,no,,,Recommendation for diagnostic reevaluation.,Onkologie,CarePlan,CarePlan.activity(reevaluation),boolean flag,MAPPED,"[[mtb-evidence-levels]] | CLIN-REVIEW: (Lucien Clin) I'd argue that these pure boolean attributes are not required to be mapped in FHIR: if study inclusion recommendation objects occur with the CarePlan, then it obviously"" studyRecommended = true, else false. | CLIN-RESOLVE (partial): kept CarePlan.activity(reevaluation) - true materialises the activity, false omits it (presence encodes the boolean, no explicit boolean field). Unlike studyRecommended it has no companion detail object, so it must still be emitted on true.",CarePlan
plan.carePlanOd.studyRecommended,boolean,yes,no,,,Recommendation to participate in a clinical study.,Onkologie,CarePlan,CarePlan.activity(study).detail.kind,boolean -> presence of study recommendation activity,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].interventionIsTherapeutic,boolean,yes,yes,,,,Onkologie,CarePlan,CarePlan.activity.detail,therapeutic flag,DRAFT,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].interventionsIsRiskReducing,boolean,yes,yes,,,,Onkologie,CarePlan,CarePlan.activity.detail,risk-reducing flag,DRAFT,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].type.code.code,string,yes,yes,,,Symbol in syntax defined by the system,Onkologie,CarePlan,CarePlan.activity.detail.code.coding.code,intervention type (OPS/own coding),MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].type.code.display,string,no,yes,,,Representation defined by the system,Onkologie,CarePlan,CarePlan.activity.detail.code.coding.display,intervention type (OPS/own coding),MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].type.code.system,string,yes,yes,,uri,Identity of the terminology system,Onkologie,CarePlan,CarePlan.activity.detail.code.coding.system,intervention type (OPS/own coding),MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].type.code.version,string,yes,yes,,,Version of the system - if relevant,Onkologie,CarePlan,CarePlan.activity.detail.code.coding.version,intervention type (OPS/own coding),MAPPED,[[mtb-evidence-levels]],CarePlan
plan.carePlanOd.suitableInterventions[].type.name,string,yes,yes,,,,Onkologie,CarePlan,CarePlan.activity.detail.code.text,intervention type display,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.preventiveMeasures[].identifier,string,yes,yes,,,,Onkologie,CarePlan,CarePlan.activity.reference.identifier,,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.preventiveMeasures[].type,string,yes,yes,,,"e.g. Breast Imaging (MRI, MGR, US) | Colonoscopy | Esophago-gastro-duodenoscopy",Onkologie,CarePlan,CarePlan.activity.detail.code,preventive measure type,MAPPED,[[mtb-evidence-levels]],CarePlan
plan.recommendedStudies[].evidenceLevel,string,yes,yes,"m1A, m1B, m1C, m2A, m2B, m2C, m3, m4, undefined",,Evidence level.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.extension(mii-ex-mtb-empfehlung-evidenzgraduierung),study enrolment request; register NCT/EudraCT/DRKS,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: use dedicated MTB evidence-grading extension,mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf) | mii-ex-mtb-empfehlung-evidenzgraduierung (MII MTB); NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedStudies[].evidenceLevelDetails[],string,no,yes,"is, iv, Z, R, Z(FDA)",,Additional references: evidence grading.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.extension(mii-ex-mtb-empfehlung-evidenzgraduierung),study enrolment request; register NCT/EudraCT/DRKS,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: use dedicated MTB evidence-grading extension,mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf) | mii-ex-mtb-empfehlung-evidenzgraduierung (MII MTB); NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedStudies[].id,string,yes,yes,,,Study ID.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.identifier.value,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.identifier,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].name,string,yes,yes,,,Study name.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.title,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].priority,integer,yes,yes,,,Prioritization.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,CarePlan.activity.detail,study enrolment request; register NCT/EudraCT/DRKS,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].register,string,yes,yes,"NCT, DRKS, Eudra-CT/CTIS, other, yesButStudyIsUnknown",,Study register.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.identifier.system (on the ResearchStudy referenced by the Studieneinschluss-Anfrage),study-inclusion REQUEST (mii-pr-mtb-studieneinschluss-anfrage) references a ResearchStudy; register (NCT/DRKS/EudraCT) -> that referenced ResearchStudy.identifier.system,MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) Id argue that's wrong: resource ResearchStudy represents the definition/registration of a study. Here, however, it is a recommendation/request that the patient be included in a given study that must be represented. Thus, this should rather be represented e.g. as ServiceRequest with type ""study inclusion"" and containing a _Reference_ to the ResearchStudy | CLIN-RESOLVE (agree): already a request profile (Studieneinschluss-Anfrage), not a ResearchStudy definition; cell relabelled so register sits on the referenced ResearchStudy, not a top-level one.",mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,MedicationRequest.medicationCodeableConcept.coding:atc.code,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].substances[].code.display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,MedicationRequest.medicationCodeableConcept.coding:atc.display,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,MedicationRequest.medicationCodeableConcept.coding:atc.system,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,MedicationRequest.medicationCodeableConcept.coding:atc.version,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].substances[].name,string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,MedicationRequest.medicationCodeableConcept.text,study enrolment request; register NCT/EudraCT/DRKS,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedStudies[].variants[],string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,ResearchStudy.extension,study enrolment request; register NCT/EudraCT/DRKS,DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-studieneinschluss-anfrage | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].evidenceLevel,string,yes,yes,"m1A, m1B, m1C, m2A, m2B, m2C, m3, m4, undefined",,Evidence level.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.extension(mii-ex-mtb-empfehlung-evidenzgraduierung),MTB evidence m1A-m4; genomde extension,DRAFT,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: use dedicated MTB evidence-grading extension, not an ad-hoc extension(evidenceLevel)",mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf) | mii-ex-mtb-empfehlung-evidenzgraduierung (MII MTB); NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedSystemicTherapies[].evidenceLevelDetails[],string,no,yes,"is, iv, Z, R, Z(FDA)",,Additional references: evidence grading.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.extension(mii-ex-mtb-empfehlung-evidenzgraduierung),MTB evidence detail,DRAFT,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: use dedicated MTB evidence-grading extension, not an ad-hoc extension(evidenceLevel)",mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf) | mii-ex-mtb-empfehlung-evidenzgraduierung (MII MTB); NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedSystemicTherapies[].identifier,string,yes,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.identifier,,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].priority,integer,yes,yes,,,Prioritization.,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.priority,,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.medicationCodeableConcept.coding:atc.code,ATC http://fhir.de/CodeSystem/bfarm/atc; real code (not placeholder),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].substances[].code.display,string,no,yes,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.medicationCodeableConcept.coding:atc.display,ATC http://fhir.de/CodeSystem/bfarm/atc; real code (not placeholder),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.medicationCodeableConcept.coding:atc.system,ATC http://fhir.de/CodeSystem/bfarm/atc; real code (not placeholder),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.medicationCodeableConcept.coding:atc.version,ATC http://fhir.de/CodeSystem/bfarm/atc; real code (not placeholder),MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].substances[].name,string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.medicationCodeableConcept.text,substance display,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
plan.recommendedSystemicTherapies[].therapeuticStrategy,string,yes,yes,"CH, HO, IM, ZS, CI, CZ, CIZ, IZ, SZ, SO",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.category (or coded extension),"therapeutic strategy = coded element (category/extension), NOT free-text note",DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: coded value must not be MedicationRequest.note,mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf) | FHIR R4 MedicationRequest.category; NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedSystemicTherapies[].type,string,yes,yes,"inLabel, offLabel, compassionateUse, unknown, secPreventive",,Recommendation systemic therapy (outside of a clinical trial),MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.extension(use-type: inLabel|offLabel|compassionateUse|secPreventive|unknown),"therapy use-type - coded 5-value enum, not a boolean offLabel flag",DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: extension(offLabel) captures only the boolean; use a coded 5-value use-type,mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf) | genomDE use-type CS; NUM-OMICS review (LOINC-verified 2026-07)
plan.recommendedSystemicTherapies[].variants[],string,no,yes,,,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-therapieempfehlung,MedicationRequest.reasonReference,supporting variant Observation(s),DRAFT,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-therapieempfehlung | oBDS-to-FHIR (bzkf)
